"DOCKET_NUMBER","DOT_NUMBER","OPERATING_AUTHORITY_REGISTRATION_TYPE","SERVE_DATE","REVOCATION_TYPE","EFFECTIVE_DATE"
"MC368053","00830331","COMMON","06/26/2024","INVOLUNTARY REVOCATION","07/26/2024"
"MC438379","01001665","COMMON","06/26/2024","INVOLUNTARY REVOCATION","07/26/2024"
"MC903930","02581498","COMMON","06/26/2024","INVOLUNTARY REVOCATION","07/26/2024"
"MC903930","02581498","CONTRACT","06/26/2024","INVOLUNTARY REVOCATION","07/26/2024"
"MC011563","02976159","COMMON","06/26/2024","INVOLUNTARY REVOCATION","07/26/2024"
"MC016792","02969972","COMMON","06/26/2024","INVOLUNTARY REVOCATION","07/26/2024"
"MC063224","03074754","COMMON","06/26/2024","INVOLUNTARY REVOCATION","07/26/2024"
"MC1122796","03449847","BROKER","06/26/2024","INVOLUNTARY REVOCATION","07/26/2024"
"FF058485","04016112","CONTRACT","06/26/2024","INVOLUNTARY REVOCATION","07/26/2024"
"MC280346","00585121","COMMON","","VOLUNTARY REVOCATION",""
"FF001724","02973837","CONTRACT","","VOLUNTARY REVOCATION",""
"MC574321","01530366","COMMON","08/02/2024","VOLUNTARY REVOCATION",""
"MC633908","00000000","COMMON","","VOLUNTARY REVOCATION",""
"MC679533","01881757","CONTRACT","","VOLUNTARY REVOCATION",""
"MC714912","02000739","CONTRACT","","VOLUNTARY REVOCATION",""
"MC775338","02270469","COMMON","","VOLUNTARY REVOCATION",""
"MC775338","02270469","COMMON","","VOLUNTARY REVOCATION",""
"MC864347","02495061","CONTRACT","","VOLUNTARY REVOCATION",""
"MC909619","02592705","COMMON","","VOLUNTARY REVOCATION",""
"MC932780","03349259","COMMON","07/05/2024","VOLUNTARY REVOCATION",""
"MC024565","03001975","COMMON","","VOLUNTARY REVOCATION",""
"MC116615","03168839","COMMON","08/05/2024","VOLUNTARY REVOCATION",""
"MC130080","03184582","COMMON","","VOLUNTARY REVOCATION",""
"MC1031349","03009021","COMMON","","VOLUNTARY REVOCATION",""
"MC1056606","03152502","CONTRACT","07/30/2024","VOLUNTARY REVOCATION",""
"MC1095695","03402992","COMMON","07/17/2024","VOLUNTARY REVOCATION",""
"MC1103043","03416337","COMMON","","VOLUNTARY REVOCATION",""
"MC1103043","03416337","COMMON","","VOLUNTARY REVOCATION",""
"MC1108364","03425296","BROKER","07/08/2024","VOLUNTARY REVOCATION",""
"MC1118398","03442452","COMMON","","VOLUNTARY REVOCATION",""
"MC1141058","03478875","COMMON","","VOLUNTARY REVOCATION",""
"MC1176249","03532158","COMMON","07/31/2024","VOLUNTARY REVOCATION",""
"MC1293455","03698929","COMMON","","VOLUNTARY REVOCATION",""
"MC1313879","03327143","COMMON","07/31/2024","VOLUNTARY REVOCATION",""
"MC1317249","03731277","COMMON","","VOLUNTARY REVOCATION",""
"MC1365054","03325168","CONTRACT","07/29/2024","VOLUNTARY REVOCATION",""
"MC1381737","03819695","COMMON","","VOLUNTARY REVOCATION",""
"MC1402758","03849417","COMMON","","VOLUNTARY REVOCATION",""
"MC1402758","03849417","COMMON","","VOLUNTARY REVOCATION",""
"MC1410463","03861037","COMMON","","VOLUNTARY REVOCATION",""
"MC1410855","02989489","COMMON","","VOLUNTARY REVOCATION",""
"MC1420611","03442449","COMMON","","VOLUNTARY REVOCATION",""
"MC1485504","00000000","COMMON","","VOLUNTARY REVOCATION",""
"MC1510344","04010852","COMMON","","VOLUNTARY REVOCATION",""
"MC1557397","04089241","COMMON","","VOLUNTARY REVOCATION",""
"MC1561546","04096119","COMMON","07/23/2024","VOLUNTARY REVOCATION",""
"MC1592853","04098539","COMMON","","VOLUNTARY REVOCATION",""
"MC1592886","00000000","COMMON","","VOLUNTARY REVOCATION",""
"MC1610189","00000000","COMMON","","VOLUNTARY REVOCATION",""
"MC1614032","04188944","COMMON","","VOLUNTARY REVOCATION",""
"MC1630941","04219962","COMMON","07/23/2024","VOLUNTARY REVOCATION",""
"MC1630978","00000000","COMMON","","VOLUNTARY REVOCATION",""
"MC1639090","04235054","COMMON","","VOLUNTARY REVOCATION",""
"MC1643097","03790635","COMMON","","VOLUNTARY REVOCATION",""
"MC1646990","04249507","COMMON","07/30/2024","VOLUNTARY REVOCATION",""
"MC1395335","03838913","COMMON","07/03/2024","INVOLUNTARY REVOCATION","08/05/2024"
"MC1366617","02520011","COMMON","","VOLUNTARY REVOCATION",""
"MC1495057","03987751","BROKER","","VOLUNTARY REVOCATION",""
"MC1630422","04218930","COMMON","","VOLUNTARY REVOCATION",""
"MC1447933","03076130","COMMON","07/01/2024","INVOLUNTARY REVOCATION","08/05/2024"
"MC1447933","03076130","CONTRACT","07/01/2024","INVOLUNTARY REVOCATION","08/05/2024"
"MC1468870","03948758","COMMON","07/01/2024","INVOLUNTARY REVOCATION","08/05/2024"
"MC1530644","04043610","COMMON","07/01/2024","INVOLUNTARY REVOCATION","08/05/2024"
"MC1557770","04089894","COMMON","07/01/2024","INVOLUNTARY REVOCATION","08/05/2024"
"MC1585308","04136958","COMMON","07/01/2024","INVOLUNTARY REVOCATION","08/05/2024"
"MC1592295","04148918","COMMON","07/02/2024","INVOLUNTARY REVOCATION","08/05/2024"
"MC1609256","04180130","COMMON","07/01/2024","INVOLUNTARY REVOCATION","08/05/2024"
"MC1614706","04190135","COMMON","07/01/2024","INVOLUNTARY REVOCATION","08/05/2024"
